%_node_ ______x1_____ ______x2_____ ______T______ ______q______
    274 +7.000000e-03 +5.000000e-03 +9.147092e+01 +2.488255e+03
    275 +7.000000e-03 +5.984302e-03 +9.115182e+01 +2.469109e+03
    276 +7.000000e-03 +6.968604e-03 +9.085357e+01 +2.451214e+03
    277 +7.000000e-03 +7.952906e-03 +9.057729e+01 +2.434637e+03
    278 +7.000000e-03 +8.937208e-03 +9.032429e+01 +2.419457e+03
    279 +7.000000e-03 +9.921510e-03 +9.009468e+01 +2.405681e+03
    280 +7.000000e-03 +1.090581e-02 +8.988838e+01 +2.393303e+03
    281 +7.000000e-03 +1.189011e-02 +8.970527e+01 +2.382316e+03
    282 +7.000000e-03 +1.287442e-02 +8.954519e+01 +2.372711e+03
    283 +7.000000e-03 +1.385872e-02 +8.940793e+01 +2.364476e+03
    284 +7.000000e-03 +1.484302e-02 +8.929338e+01 +2.357603e+03
    285 +7.000000e-03 +1.582732e-02 +8.920145e+01 +2.352087e+03
    286 +7.000000e-03 +1.681162e-02 +8.913214e+01 +2.347929e+03
    287 +7.000000e-03 +1.779592e-02 +8.908540e+01 +2.345124e+03
    288 +7.000000e-03 +1.878023e-02 +8.906194e+01 +2.343717e+03
    289 +7.000000e-03 +1.878023e-02 +8.906194e+01 +2.343717e+03
    290 +6.000000e-03 +1.878023e-02 +8.906221e+01 +2.343733e+03
    291 +6.000000e-03 +1.878023e-02 +8.906221e+01 +2.343733e+03
    292 +6.000000e-03 +1.779592e-02 +8.908551e+01 +2.345130e+03
    293 +6.000000e-03 +1.681162e-02 +8.913225e+01 +2.347935e+03
    294 +6.000000e-03 +1.582732e-02 +8.920157e+01 +2.352094e+03
    295 +6.000000e-03 +1.484302e-02 +8.929351e+01 +2.357611e+03
    296 +6.000000e-03 +1.385872e-02 +8.940809e+01 +2.364485e+03
    297 +6.000000e-03 +1.287442e-02 +8.954530e+01 +2.372718e+03
    298 +6.000000e-03 +1.189011e-02 +8.970533e+01 +2.382320e+03
    299 +6.000000e-03 +1.090581e-02 +8.988841e+01 +2.393305e+03
    300 +6.000000e-03 +9.921510e-03 +9.009470e+01 +2.405682e+03
    301 +6.000000e-03 +8.937208e-03 +9.032430e+01 +2.419458e+03
    302 +6.000000e-03 +7.952906e-03 +9.057727e+01 +2.434636e+03
    303 +6.000000e-03 +6.968604e-03 +9.085340e+01 +2.451204e+03
    304 +6.000000e-03 +5.984302e-03 +9.115173e+01 +2.469104e+03
    305 +6.000000e-03 +5.000000e-03 +9.148845e+01 +2.489307e+03
    306 +6.000000e-03 +5.000000e-03 +9.148845e+01 +2.489307e+03
    307 +5.000000e-03 +5.000000e-03 +9.162877e+01 +2.497726e+03
    308 +4.000000e-03 +5.000000e-03 +9.160249e+01 +2.496149e+03
    309 +4.000000e-03 +5.000000e-03 +9.160249e+01 +2.496149e+03
    310 +4.000000e-03 +5.970721e-03 +9.142036e+01 +2.485222e+03
    311 +4.000000e-03 +6.941442e-03 +9.125936e+01 +2.475562e+03
    312 +4.000000e-03 +7.912162e-03 +9.112021e+01 +2.467212e+03
    313 +4.000000e-03 +8.882883e-03 +9.100386e+01 +2.460232e+03
    314 +4.000000e-03 +9.853604e-03 +9.091046e+01 +2.454627e+03
